РЕЦЕПТЫ МИКРОВОЛНОВКИ И КУХНИ
Читать так: блюдо ← ингредиенты, время в секундах.

## meal_recipes
FoodBreadBun ← FoodDoughSlice 1   [5 с, группа Breads]
FoodCottonBun ← FoodDoughCottonSlice 1   [5 с, группа Moth]
FoodBagel ← FoodDoughRope 1   [5 с, группа Breads]
FoodBagelPoppy ← FoodDoughRope 1 + PoppySeeds 1   [5 с, группа Breads]
FoodBagelCotton ← FoodDoughCottonRope 1   [5 с, группа Moth]
FoodBurgerAppendix ← FoodBreadBun 1 + OrganHumanAppendix 1   [10 с, группа Savory]
FoodBurgerBacon ← FoodBreadBun 1 + FoodMeatBacon 1 + FoodCheeseSlice 2   [10 с, группа Savory]
FoodBurgerBaseball ← FoodBreadBun 1 + BaseBallBat 1   [10 с, группа Savory]
FoodBurgerBear ← FoodBreadBun 1 + FoodMeatBear 1   [10 с, группа Savory]
FoodBurgerBig ← FoodBreadBun 1 + FoodMeat 2 + FoodCheeseSlice 1 + FoodTomato 1 + FoodOnionSlice 2   [15 с, группа Savory]
FoodBurgerBrain ← FoodBreadBun 1 + OrganHumanBrain 1   [10 с, группа Savory]
FoodBurgerCat ← FoodBreadBun 1 + FoodMeat 1 + ClothingHeadHatCatEars 1   [10 с, группа Savory]
FoodBurgerCheese ← FoodBreadBun 1 + FoodMeat 1 + FoodCheeseSlice 1   [10 с, группа Savory]
FoodBurgerChicken ← FoodBreadBun 1 + FoodMeatChicken 1 + Mayo 2   [10 с, группа Savory]
FoodBurgerClown ← FoodBreadBun 1 + ClothingMaskClown 1   [10 с, группа Savory]
FoodBurgerCorgi ← FoodBreadBun 1 + FoodMeatCorgi 1   [10 с, группа Savory]
FoodBurgerCrab ← FoodBreadBun 1 + FoodMeatCrab 2   [10 с, группа Savory]
FoodBurgerCrazy ← FoodBreadBun 1 + FoodMeat 2 + FoodCheeseSlice 2 + FoodChiliPepper 1 + FoodCabbage 1 + CrayonGreen 1 + Flare 1 + OilOlive 15   [15 с, группа Savory]
FoodBurgerDuck ← FoodBreadBun 1 + FoodMeatDuck 1 + FoodCheeseSlice 1   [10 с, группа Savory]
FoodBurgerEmpowered ← FoodBreadBun 1 + SheetPlasma1 2   [10 с, группа Savory]
FoodBurgerCarp ← FoodBreadBun 1 + FoodMeatFish 1 + FoodCheeseSlice 1   [10 с, группа Savory]
FoodBurgerFive ← FoodBreadBun 1 + FoodMeat 1 + FoodChiliPepper 3   [10 с, группа Savory]
FoodBurgerGhost ← FoodBreadBun 1 + Ectoplasm 1   [10 с, группа Savory]
FoodBurgerHuman ← FoodBreadBun 1 + FoodMeatHuman 1   [10 с, группа Savory]
FoodBurgerJelly ← FoodBreadBun 1 + FoodJellyAmanita 1   [10 с, группа Savory]
FoodBurgerMcguffin ← FoodBreadBun 1 + FoodCheeseSlice 1 + Egg 6   [10 с, группа Savory]
FoodBurgerMcrib ← FoodBreadBun 1 + FoodMealRibs 1 + FoodOnionSlice 5   [10 с, группа Savory]
FoodBurgerMime ← FoodBreadBun 1 + ClothingMaskMime 1   [10 с, группа Savory]
FoodBurgerPlain ← FoodBreadBun 1 + FoodMeat 1   [10 с, группа Savory]
FoodBurgerRat ← FoodBreadBun 1 + FoodMeatRat 1   [10 с, группа Savory]
FoodBurgerRobot ← FoodBreadBun 1 + MicroManipulatorStockPart 2   [10 с, группа Savory]
FoodBurgerSoy ← FoodBreadBun 1 + FoodCheeseSlice 1 + FoodSoybeans 2   [10 с, группа Savory]
FoodBurgerSpell ← FoodBreadBun 1 + ClothingHeadHatWizard 1   [10 с, группа Savory]
FoodBurgerSuper ← FoodBreadBun 1 + FoodMeat 2 + FoodCheeseSlice 1 + FoodTomato 2 + TableSalt 1 + Blackpepper 1 + Egg 12   [25 с, группа Savory]
FoodBurgerTofu ← FoodBreadBun 1 + FoodTofuSlice 1   [10 с, группа Savory]
FoodBurgerXeno ← FoodBreadBun 1 + FoodMeatXeno 1   [10 с, группа Savory]
FoodBurgerMothRoach ← FoodBreadBun 1 + MobMothroach 1   [? с, группа Savory]
FoodBreadBanana ← FoodDough 1 + FoodBanana 1   [15 с, группа Breads]
FoodBreadCorn ← FoodDoughCornmeal 1   [10 с, группа Breads]
FoodBreadCreamcheese ← FoodDough 1 + FoodCheeseSlice 1 + Milk 5   [15 с, группа Breads]
FoodBreadMeat ← FoodDough 1 + FoodMeatCutlet 2 + FoodCheeseSlice 1   [15 с, группа Breads]
FoodBreadMimana ← FoodDough 1 + FoodMimana 2 + Nothing 5   [15 с, группа Breads]
FoodBreadPlain ← FoodDough 1   [10 с, группа Breads]
FoodBreadCotton ← FoodDoughCotton 1   [10 с, группа Moth]
FoodBreadSausage ← FoodDough 1 + FoodMeat 1   [15 с, группа Breads]
FoodBreadMeatSpider ← FoodDough 1 + FoodMeatSpiderCutlet 2 + FoodCheeseSlice 1   [15 с, группа Breads]
FoodBreadTofu ← FoodDough 1 + FoodTofuSlice 1   [15 с, группа Breads]
FoodBreadMeatXeno ← FoodDough 1 + FoodMeatXenoCutlet 2 + FoodCheeseSlice 2   [15 с, группа Breads]
FoodBreadBaguette ← FoodDough 1 + TableSalt 1 + Blackpepper 1   [15 с, группа Breads]
FoodBreadBaguetteCotton ← FoodDoughCotton 1 + TableSalt 1 + Blackpepper 1   [15 с, группа Moth]
WeaponBaguette ← FoodDough 1 + PartRodMetal1 1 + TableSalt 1 + Blackpepper 1   [15 с, группа Secret]
FoodBreadButteredToast ← FoodBreadPlainSlice 1 + FoodButterSlice 1   [5 с, группа Breads]
FoodBreadFrenchToast ← FoodBreadPlainSlice 1 + Milk 5 + Egg 6   [5 с, группа Breakfast]
FoodBreadGarlicSlice ← FoodBreadPlainSlice 1 + FoodGarlic 1 + FoodButterSlice 1   [5 с, группа Breads]
FoodBreadJellySlice ← FoodBreadPlainSlice 1 + FoodJellyAmanita 1   [5 с, группа Breads]
FoodBreadMoldySlice ← FoodBreadPlainSlice 1 + FoodFlyAmanita 1   [5 с, группа Breads]
FoodBreadTwoSlice ← FoodBreadPlainSlice 2 + Wine 5   [5 с, группа Breads]
FoodOnionRings ← FoodOnionSlice 1   [15 с, группа Savory]
